"FIPS","Qualifying Name","File identification","State Postal Abbreviation","Summary Level","Geographic Component","Logical Record Number","US","Census Region","Census Division","State (Census Code)","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Census Tract","Block Group","Consolidated City","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(Census)","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian TribalSubdivision (Census)","American Indian TribalSubdivision (FIPS)","Alaska Native RegionalCorporation (FIPS)","Metropolitan and MicropolitanStatistical Area","Combined Statistical Area","Metropolitan Statistical Area-Metropolitan Division","Metropolitan Area Central City","Metropolitan/MicropolitanIndicator Flag","New England City and Town Area","New England City and TownCombined Statistical Area","New England City and Town AreaDivision","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area – 5%File","Public Use Microdata Area - 1% File","Geographic Identifier","Area Name","Tribal Tract","Tribal Block Group","Place (State FIPS + Place FIPS)","Total Population","Total Population","Population Density (Per Sq. Mile)","Area (Land)","Total Population:","Total Population: Male","Total Population: Female","% Total Population: Male","% Total Population: Female","Total Population:","Total Population: Under 5 Years","Total Population: 5 to 9 Years","Total Population: 10 to 14 Years","Total Population: 15 to 17 Years","Total Population: 18 to 24 Years","Total Population: 25 to 34 Years","Total Population: 35 to 44 Years","Total Population: 45 to 54 Years","Total Population: 55 to 64 Years","Total Population: 65 to 74 Years","Total Population: 75 to 84 Years","Total Population: 85 Years and Over","% Total Population: Under 5 Years","% Total Population: 5 to 9 Years","% Total Population: 10 to 14 Years","% Total Population: 15 to 17 Years","% Total Population: 18 to 24 Years","% Total Population: 25 to 34 Years","% Total Population: 35 to 44 Years","% Total Population: 45 to 54 Years","% Total Population: 55 to 64 Years","% Total Population: 65 to 74 Years","% Total Population: 75 to 84 Years","% Total Population: 85 Years and Over","Total Population:","Total Population: White Alone","Total Population: Black or African American Alone","Total Population: American Indian and Alaska Native Alone","Total Population: Asian Alone","Total Population: Native Hawaiian and Other Pacific Islander Alone","Total Population: Some Other Race Alone","Total Population: Two or More Races","% Total Population: White Alone","% Total Population: Black or African American Alone","% Total Population: American Indian and Alaska Native Alone","% Total Population: Asian Alone","% Total Population: Native Hawaiian and Other Pacific Islander Alone","% Total Population: Some Other Race Alone","% Total Population: Two or More Races","Households:","Households: Family Households","Households: Family Households: Married-Couple Family","Households: Family Households: Other Family","Households: Family Households: Other Family: Male Householder, No Wife Present","Households: Family Households: Other Family: Female Householder, No Husband Present","Households: Nonfamily Households","Households: Nonfamily Households: Male Householder","Households: Nonfamily Households: Female Householder","% Households: Family Households","% Households: Family Households: Married-Couple Family","% Households: Family Households: Other Family","% Households: Family Households: Other Family: Male Householder, No Wife Present","% Households: Family Households: Other Family: Female Householder, No Husband Present","% Households: Nonfamily Households","% Households: Nonfamily Households: Male Householder","% Households: Nonfamily Households: Female Householder","Median Household Income (In 2021 Inflation Adjusted Dollars)","Housing Units","Occupied Housing Units:","Occupied Housing Units: Owner Occupied","Occupied Housing Units: Renter Occupied","% Occupied Housing Units: Owner Occupied","% Occupied Housing Units: Renter Occupied","Population for Whom Poverty Status Is Determined:","Population for Whom Poverty Status Is Determined: Under 1.00 (Doing Poorly)","Population for Whom Poverty Status Is Determined: 1.00 to 1.99 (Struggling)","Population for Whom Poverty Status Is Determined: Under 2.00 (Poor or Struggling)","Population for Whom Poverty Status Is Determined: 2.00 and Over (Doing Ok)","% Population for Whom Poverty Status Is Determined: Under 1.00 (Doing Poorly)","% Population for Whom Poverty Status Is Determined: 1.00 to 1.99 (Struggling)","% Population for Whom Poverty Status Is Determined: Under 2.00 (Poor or Struggling)","% Population for Whom Poverty Status Is Determined: 2.00 and Over (Doing Ok)"
Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A02001_001,SE_A02001_002,SE_A02001_003,PCT_SE_A02001_002,PCT_SE_A02001_003,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,PCT_SE_A01001_002,PCT_SE_A01001_003,PCT_SE_A01001_004,PCT_SE_A01001_005,PCT_SE_A01001_006,PCT_SE_A01001_007,PCT_SE_A01001_008,PCT_SE_A01001_009,PCT_SE_A01001_010,PCT_SE_A01001_011,PCT_SE_A01001_012,PCT_SE_A01001_013,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,PCT_SE_A03001_002,PCT_SE_A03001_003,PCT_SE_A03001_004,PCT_SE_A03001_005,PCT_SE_A03001_006,PCT_SE_A03001_007,PCT_SE_A03001_008,SE_A10008_001,SE_A10008_002,SE_A10008_003,SE_A10008_004,SE_A10008_005,SE_A10008_006,SE_A10008_007,SE_A10008_008,SE_A10008_009,PCT_SE_A10008_002,PCT_SE_A10008_003,PCT_SE_A10008_004,PCT_SE_A10008_005,PCT_SE_A10008_006,PCT_SE_A10008_007,PCT_SE_A10008_008,PCT_SE_A10008_009,SE_A14006_001,SE_A10001_001,SE_A10060_001,SE_A10060_002,SE_A10060_003,PCT_SE_A10060_002,PCT_SE_A10060_003,SE_B13004_001,SE_B13004_002,SE_B13004_003,SE_B13004_004,SE_B13004_005,PCT_SE_B13004_002,PCT_SE_B13004_003,PCT_SE_B13004_004,PCT_SE_B13004_005
"00037","Abbeville, LA Urban Cluster (2010)","ACSSF","us","400","00","0007253",,,,,,,,,,,,,,,,,,,,,,,,,,"00037",,,,,,,,,,,,,,,,,,"40000US00037","Abbeville",,,,18238,18238,,,18238,8267,9971,45.33,54.67,18238,965,1285,1460,907,1491,2389,1762,2458,2229,2126,767,399,5.29,7.05,8.01,4.97,8.18,13.1,9.66,13.48,12.22,11.66,4.21,2.19,18238,11417,5282,46,510,0,303,680,62.6,28.96,0.25,2.8,0,1.66,3.73,7272,4765,2662,2103,259,1844,2507,1129,1378,65.53,36.61,28.92,3.56,25.36,34.47,15.53,18.95,41872,8779,7272,4538,2734,62.4,37.6,18019,4625,4109,8734,9285,25.67,22.8,48.47,51.53
"00064","Abbeville, SC Urban Cluster (2010)","ACSSF","us","400","00","0007254",,,,,,,,,,,,,,,,,,,,,,,,,,"00064",,,,,,,,,,,,,,,,,,"40000US00064","Abbeville",,,,4881,4881,,,4881,2308,2573,47.29,52.71,4881,239,340,650,133,302,485,801,340,454,723,255,159,4.9,6.97,13.32,2.72,6.19,9.94,16.41,6.97,9.3,14.81,5.22,3.26,4881,2289,2340,31,0,0,14,207,46.9,47.94,0.64,0,0,0.29,4.24,1832,1108,458,650,134,516,724,371,353,60.48,25,35.48,7.31,28.17,39.52,20.25,19.27,37685,2159,1832,1080,752,58.95,41.05,4806,1324,598,1922,2884,27.55,12.44,39.99,60.01
"00091","Abbotsford, WI Urban Cluster (2010)","ACSSF","us","400","00","0007255",,,,,,,,,,,,,,,,,,,,,,,,,,"00091",,,,,,,,,,,,,,,,,,"40000US00091","Abbotsford",,,,3997,3997,,,3997,2040,1957,51.04,48.96,3997,214,246,341,237,383,403,648,365,407,380,193,180,5.35,6.15,8.53,5.93,9.58,10.08,16.21,9.13,10.18,9.51,4.83,4.5,3997,3384,25,4,8,0,305,271,84.66,0.63,0.1,0.2,0,7.63,6.78,1461,979,599,380,138,242,482,267,215,67.01,41,26.01,9.45,16.56,32.99,18.28,14.72,49217,1544,1461,954,507,65.3,34.7,3773,714,877,1591,2182,18.92,23.24,42.17,57.83
"00118","Aberdeen, MS Urban Cluster (2010)","ACSSF","us","400","00","0007256",,,,,,,,,,,,,,,,,,,,,,,,,,"00118",,,,,,,,,,,,,,,,,,"40000US00118","Aberdeen",,,,3634,3634,,,3634,1816,1818,49.97,50.03,3634,161,212,283,131,287,449,439,356,575,443,199,99,4.43,5.83,7.79,3.6,7.9,12.36,12.08,9.8,15.82,12.19,5.48,2.72,3634,659,2975,0,0,0,0,0,18.13,81.87,0,0,0,0,0,1346,801,349,452,101,351,545,242,303,59.51,25.93,33.58,7.5,26.08,40.49,17.98,22.51,42375,1552,1346,808,538,60.03,39.97,3491,720,916,1636,1855,20.62,26.24,46.86,53.14
"00145","Aberdeen, SD Urban Cluster (2010)","ACSSF","us","400","00","0007257",,,,,,,,,,,,,,,,,,,,,,,,,,"00145",,,,,,,,,,,,,,,,,,"40000US00145","Aberdeen",,,,26675,26675,,,26675,13100,13575,49.11,50.89,26675,1524,1654,1655,975,3567,3443,3002,3077,3422,2247,1405,704,5.71,6.2,6.2,3.66,13.37,12.91,11.25,11.54,12.83,8.42,5.27,2.64,26675,22134,646,1292,1176,61,282,1084,82.98,2.42,4.84,4.41,0.23,1.06,4.06,11528,5973,4322,1651,553,1098,5555,2404,3151,51.81,37.49,14.32,4.8,9.52,48.19,20.85,27.33,58217,12671,11528,6709,4819,58.2,41.8,25699,3356,4141,7497,18202,13.06,16.11,29.17,70.83
"00172","Aberdeen, WA Urban Cluster (2010)","ACSSF","us","400","00","0007258",,,,,,,,,,,,,,,,,,,,,,,,,,"00172",,,,,,,,,,,,,,,,,,"40000US00172","Aberdeen",,,,30440,30440,,,30440,15530,14910,51.02,48.98,30440,1942,2209,2167,1425,2268,3574,4001,3259,3791,3689,1551,564,6.38,7.26,7.12,4.68,7.45,11.74,13.14,10.71,12.45,12.12,5.1,1.85,30440,25275,206,1020,403,115,945,2476,83.03,0.68,3.35,1.32,0.38,3.1,8.13,12006,7267,4869,2398,892,1506,4739,2285,2454,60.53,40.55,19.97,7.43,12.54,39.47,19.03,20.44,48509,13384,12006,6991,5015,58.23,41.77,30062,5736,7289,13025,17037,19.08,24.25,43.33,56.67
"00199","Aberdeen--Bel Air South--Bel Air North, MD Urbanized Area (2010)","ACSSF","us","400","00","0007259",,,,,,,,,,,,,,,,,,,,,,,,,,"00199",,,,,,,,,,,,,,,,,,"40000US00199","Aberdeen--Bel Air South--Bel Air North",,,,223039,223039,,,223039,109284,113755,49,51,223039,13034,14510,13787,9052,17919,27927,28858,31167,31343,22231,9351,3860,5.84,6.51,6.18,4.06,8.03,12.52,12.94,13.97,14.05,9.97,4.19,1.73,223039,165651,35235,245,6935,78,4522,10373,74.27,15.8,0.11,3.11,0.03,2.03,4.65,84951,60332,47361,12971,3764,9207,24619,10796,13823,71.02,55.75,15.27,4.43,10.84,28.98,12.71,16.27,96133,89730,84951,65899,19052,77.57,22.43,221320,15340,21642,36982,184338,6.93,9.78,16.71,83.29
"00226","Abernathy, TX Urban Cluster (2010)","ACSSF","us","400","00","0007260",,,,,,,,,,,,,,,,,,,,,,,,,,"00226",,,,,,,,,,,,,,,,,,"40000US00226","Abernathy",,,,3205,3205,,,3205,1635,1570,51.01,48.99,3205,192,250,269,350,257,251,641,293,249,301,116,36,5.99,7.8,8.39,10.92,8.02,7.83,20,9.14,7.77,9.39,3.62,1.12,3205,2889,76,4,0,0,101,135,90.14,2.37,0.12,0,0,3.15,4.21,1153,849,688,161,87,74,304,102,202,73.63,59.67,13.96,7.55,6.42,26.37,8.85,17.52,63661,1251,1153,898,255,77.88,22.12,3198,231,655,886,2312,7.22,20.48,27.7,72.3
"00253","Abilene, KS Urban Cluster (2010)","ACSSF","us","400","00","0007261",,,,,,,,,,,,,,,,,,,,,,,,,,"00253",,,,,,,,,,,,,,,,,,"40000US00253","Abilene",,,,6562,6562,,,6562,3196,3366,48.7,51.3,6562,378,246,396,292,437,666,1029,675,1011,656,602,174,5.76,3.75,6.03,4.45,6.66,10.15,15.68,10.29,15.41,10,9.17,2.65,6562,6255,95,13,0,0,40,159,95.32,1.45,0.2,0,0,0.61,2.42,2959,1782,1454,328,74,254,1177,591,586,60.22,49.14,11.08,2.5,8.58,39.78,19.97,19.8,51765,3441,2959,2074,885,70.09,29.91,6458,528,1275,1803,4655,8.18,19.74,27.92,72.08
