"ResponseId","geo_zipcode","SWLS","MLQ_P","PRLQ","walkscore_walkscore","walkscore_transitscore","walkscore_bikescore","walkscore_city_name","walkscore_state_name","mobility_city_name","mobility_msa_name","mobility_score","Seg_Rank","Seg_City","Seg_State","Segregation_Divergence_Score","Segregation_Category","ZIP_FIPS","ZIP_Name","ZIP_X3_Digit_Tabulation","ZIP_X5_Digit_Tabulation","ZIP_Area_Name","ZIP_Zipcode_Zone","ZIP_State_Territory","ZIP_Total_Population","ZIP_Population_Density","ZIP_Area","ZIP_Total_Population1","ZIP_Total_Population_Male","ZIP_Total_Population_Female","ZIP_X_Total_Population_Male","ZIP_X_Total_Population_Female","ZIP_Total_Population2","ZIP_Total_Population_Under_5_Years","ZIP_Total_Population_5_to_9_Years","ZIP_Total_Population_10_to_14_Years","ZIP_Total_Population_15_to_17_Years","ZIP_Total_Population_18_to_24_Years","ZIP_Total_Population_25_to_34_Years","ZIP_Total_Population_35_to_44_Years","ZIP_Total_Population_45_to_54_Years","ZIP_Total_Population_55_to_64_Years","ZIP_Total_Population_65_to_74_Years","ZIP_Total_Population_75_to_84_Years","ZIP_Total_Population_85_Years_And_Over","ZIP_X_Total_Population_Under_5_Years","ZIP_X_Total_Population_5_to_9_Years","ZIP_X_Total_Population_10_to_14_Years","ZIP_X_Total_Population_15_to_17_Years","ZIP_X_Total_Population_18_to_24_Years","ZIP_X_Total_Population_25_to_34_Years","ZIP_X_Total_Population_35_to_44_Years","ZIP_X_Total_Population_45_to_54_Years","ZIP_X_Total_Population_55_to_64_Years","ZIP_X_Total_Population_65_to_74_Years","ZIP_X_Total_Population_75_to_84_Years","ZIP_X_Total_Population_85_Years_And_Over","ZIP_Total_Population3","ZIP_Total_Population_White_Alone","ZIP_Total_Population_Black_or.African_American_Alone","ZIP_Total_Population_American_Indian_And_Native_Alaskan_Alone","ZIP_Total_Population_Asian_Alone","ZIP_Total_Population_Native_Hawaiian_And_Other_Pacific_Islander_Alone","ZIP_Total_Population_Some_Other_Race_Alone","ZIP_Total_Population_Two_Or_More_Races","ZIP_X_Total_Population_White_Alone","ZIP_X_Total_Population_Black_or_African_American_Alone","ZIP_X_Total_Population_American_Indian_And_Native_Alaskan_Alone","ZIP_X_Total_Population_Asian_Alone","ZIP_X_Total_Population_Native_Hawaiian_And_Other_Pacific_Islander_Alone","ZIP_X_Total_Population_Some_Other_Race_Alone","ZIP_X_Total_Population_Two_Or_More_Races","ZIP_Households","ZIP_Households_Family_Households","ZIP_Households_Married_Couple_Family","ZIP_Households_Other_Family","ZIP_Households_Male_Householder_No_Wife_Present","ZIP_Households_Female_Householder_No_Husband_Present","ZIP_Households_Nonfamily_Households","ZIP_Nonfamily_Households_Male_Householder","ZIP_Nonfamily_Households_Female_Householder","ZIP_X_Households_Family_Households","ZIP_X_Households_Married_Couple_Family","ZIP_X_Households_Other_Family","ZIP_X_Households_Male_Householder_No_Wife_Present","ZIP_X_Households_Female_Householder_No_Husband_Present","ZIP_X_Households_Nonfamily_Households","ZIP_X_Nonfamily_Households_Male_Householder","ZIP_X_Nonfamily_Households_Female_Householder","ZIP_Median_Household_Income","ZIP_Housing_Units","ZIP_Occupied_Housing_Units","ZIP_Owner_Occupied","ZIP_Renter_Occupied","ZIP_X_Owner_Occupied","ZIP_X_Renter_Occupied","ZIP_Population_With_Poverty_Status","ZIP_Poverty_Status_Under_1.00","ZIP_Poverty_Status_1.00_to_1.99","ZIP_Poverty_Status_Under_2.00","ZIP_Poverty_Status_2.00_and_Over","ZIP_X_Poverty_Status_Under_1.00","ZIP_X_Poverty_Status_1.00_to_1.99","ZIP_X_Poverty_Status_Under_2.00","ZIP_X_Poverty_Status_2.00_and_Over","ZIP_Total_Population_Last","ZIP_Total_Not_Hispanic","ZIP_Total_Not_Hispanic_White_Alone","ZIP_Total_Not_Hispanic_Black_Alone","ZIP_Total_Not_Hispanic_American_Indian_Native_Alaskan_Alone","ZIP_Total_Not_Hispanic_Asian_Alone","ZIP_Total_Not_Hispanic_Native_Hawaiian_Pacific_Islander","ZIP_Total_Not_Hispanic_Other_Race","ZIP_Total_Not_Hispanic_Two_or_More_Races","ZIP_Total_Hispanic","ZIP_X_Not_Hispanic","ZIP_X_Not_Hispanic_White_Alone","ZIP_X_Not_Hispanic_Black_Alone","ZIP_X_Not_Hispanic_American_Indian_Native_Alaskan_Alone","ZIP_X_Not_Hispanic_Asian_Alone","ZIP_X_Not_Hispanic_Native_Hawaiian_Pacific_Islander","ZIP_X_Not_Hispanic_Other_Race","ZIP_X_Not_Hispanic_Two_or_More_Races","ZIP_X_Hispanic"
"R_2uBrHUcUWm3LOL4",77053,8.6,1.44,6.14,0.72,0.3,0.16,"Houston","TX","Houston city","Houston-The Woodlands-Sugar Land_TX Metro Area",0.144,24,"Houston city"," TX",0.3187,"High Segregation",77053,"ZCTA5 77053",770,77053,"ZCTA5 77053","Central South (Around TX)","TX",30175,2651.861,11.378801755066,30175,15163,15012,50.25,49.75,30175,1649,2356,2313,1462,3268,4341,4045,4299,2895,2410,961,176,5.46,7.81,7.67,4.85,10.83,14.39,13.41,14.25,9.59,7.99,3.18,0.58,30175,8413,12348,178,183,0,3636,5417,27.88,40.92,0.59,0.61,0,12.05,17.95,9248,7146,3771,3375,945,2430,2102,875,1227,77.27,40.78,36.49,10.22,26.28,22.73,9.46,13.27,61750,9517,9248,6183,3065,66.86,33.14,30074,5623,9099,14722,15352,18.7,30.26,48.95,51.05,30175,13721,1044,12225,63,183,0,0,206,16454,45.47,3.46,40.51,0.21,0.61,0,0,0.68,54.53
"R_ZkoaKWEA3jqZu3D",11109,9.04,2.84,5.92,0.99,0.7,0.91,"New York","NY","New York city","New York-Newark-Jersey City_NY-NJ-PA Metro Area",0.095,7,"New York city"," NY",0.4379,"High Segregation",11109,"ZCTA5 11109",111,11109,"ZCTA5 11109","Lower North East (Arond NY)","NY",7280,157676.5,0.0461704841875715,7280,3806,3474,52.28,47.72,7280,878,508,41,57,195,2072,1898,812,420,255,25,119,12.06,6.98,0.56,0.78,2.68,28.46,26.07,11.15,5.77,3.5,0.34,1.63,7280,3975,91,0,2400,0,129,685,54.6,1.25,0,32.97,0,1.77,9.41,3326,1989,1801,188,111,77,1337,761,576,59.8,54.15,5.65,3.34,2.32,40.2,22.88,17.32,173939,4842,3326,841,2485,25.29,74.71,7280,149,793,942,6338,2.05,10.89,12.94,87.06,7280,6722,3659,39,0,2400,0,17,607,558,92.34,50.26,0.54,0,32.97,0,0.23,8.34,7.66
"R_0pvyqVdmK3rYAsF",90029,3.63,1.89,1.01,0.46,0.42,0.64,"Los Angeles","CA","Los Angeles city","Los Angeles-Long Beach-Anaheim_CA Metro Area",0.103,25,"Los Angeles city"," CA",0.3088,"High Segregation",90029,"ZCTA5 90029",900,90029,"ZCTA5 90029","West Coast (includes Hawaii/Alaska)","CA",34649,25178.77,1.37611950325639,34649,17735,16914,51.18,48.82,34649,1297,1244,1690,1115,2753,8137,5779,3989,3901,2802,1297,645,3.74,3.59,4.88,3.22,7.95,23.48,16.68,11.51,11.26,8.09,3.74,1.86,34649,11885,1094,243,5615,87,12994,2731,34.3,3.16,0.7,16.21,0.25,37.5,7.88,12836,6592,4036,2556,968,1588,6244,3249,2995,51.36,31.44,19.91,7.54,12.37,48.64,25.31,23.33,56529,14442,12836,1485,11351,11.57,88.43,34105,7588,7054,14642,19463,22.25,20.68,42.93,57.07,34649,16957,9408,1058,57,5595,6,144,689,17692,48.94,27.15,3.05,0.16,16.15,0.02,0.42,1.99,51.06
"R_1DFEqAKlos4qYcc",94107,8.14,5.31,8.37,0.9,0.47,0.04,"San Francisco","CA","San Francisco city","San Francisco-Oakland-Berkeley_CA Metro Area",0.127,66,"San Francisco city"," CA",0.1797,"High Segregation",94107,"ZCTA5 94107",941,94107,"ZCTA5 94107","West Coast (includes Hawaii/Alaska)","CA",30340,16583.69,1.82950809038497,30340,15980,14360,52.67,47.33,30340,1210,877,503,264,2020,9614,5951,3827,2208,2141,1205,520,3.99,2.89,1.66,0.87,6.66,31.69,19.61,12.61,7.28,7.06,3.97,1.71,30340,15038,842,61,9559,33,1528,3279,49.56,2.78,0.2,31.51,0.11,5.04,10.81,15271,5529,4800,729,133,596,9742,5884,3858,36.21,31.43,4.77,0.87,3.9,63.79,38.53,25.26,176788,18503,15271,5472,9799,35.83,64.17,29952,2388,3662,6050,23902,7.97,12.23,20.2,79.8,30340,26943,14283,842,34,9559,33,275,1917,3397,88.8,47.08,2.78,0.11,31.51,0.11,0.91,6.32,11.2
"R_CkL7YQJAxMWBuSJ",60621,6.16,8.89,7.92,0.25,0.36,0.91,"Chicago","IL","Chicago city","Chicago-Naperville-Elgin_IL-IN-WI Metro Area",0.119,4,"Chicago city"," IL",0.6223,"High Segregation",60621,"ZCTA5 60621",606,60621,"ZCTA5 60621","Central Interior (Around IL)","IL",26997,7191.004,3.75427376497497,26997,13287,13710,49.22,50.78,26997,1538,1782,1929,1076,2423,4037,3031,3224,3851,2223,1175,708,5.7,6.6,7.15,3.99,8.98,14.95,11.23,11.94,14.26,8.23,4.35,2.62,26997,742,24980,29,167,0,522,557,2.75,92.53,0.11,0.62,0,1.93,2.06,11134,5553,1471,4082,731,3351,5581,2851,2730,49.87,13.21,36.66,6.57,30.1,50.13,25.61,24.52,30163,15492,11134,2827,8307,25.39,74.61,26480,8901,6884,15785,10695,33.61,26,59.61,40.39,26997,25844,392,24766,29,167,0,0,490,1153,95.73,1.45,91.74,0.11,0.62,0,0,1.82,4.27
"R_1NEY87HShMrxA5q",78245,5.71,5.05,8.43,0.69,0.1,0.38,"San Antonio","TX","San Antonio city","San Antonio-New Braunfels_TX Metro Area",0.153,86,"San Antonio city"," TX",0.1411,"Low-Medium Segregation",78245,"ZCTA5 78245",782,78245,"ZCTA5 78245","Central South (Around TX)","TX",92770,2631.998,35.246992650159,92770,47046,45724,50.71,49.29,92770,7801,6882,7837,3769,9388,17267,15371,9602,7122,5034,1634,1063,8.41,7.42,8.45,4.06,10.12,18.61,16.57,10.35,7.68,5.43,1.76,1.15,92770,51810,10888,1014,2212,166,8013,18667,55.85,11.74,1.09,2.38,0.18,8.64,20.12,29831,22735,15696,7039,2516,4523,7096,4080,3016,76.21,52.62,23.6,8.43,15.16,23.79,13.68,10.11,83005,31715,29831,21554,8277,72.25,27.75,91593,8695,15451,24146,67447,9.49,16.87,26.36,73.64,92770,34152,18363,10392,41,2035,166,819,2336,58618,36.81,19.79,11.2,0.04,2.19,0.18,0.88,2.52,63.19
"R_2QtZ3Ma2MO3Buc3",92122,7.45,9.14,9.99,0.84,0.55,0.63,"San Diego","CA","San Diego city","San Diego-Carlsbad_CA Metro Area",0.145,39,"San Diego city"," CA",0.2514,"High Segregation",92122,"ZCTA5 92122",921,92122,"ZCTA5 92122","West Coast (includes Hawaii/Alaska)","CA",45988,8550.858,5.37817356682734,45988,23588,22400,51.29,48.71,45988,1914,1548,1557,1035,10038,10065,5837,4365,3646,2547,2141,1295,4.16,3.37,3.39,2.25,21.83,21.89,12.69,9.49,7.93,5.54,4.66,2.82,45988,25634,725,205,13584,32,980,4828,55.74,1.58,0.45,29.54,0.07,2.13,10.5,19549,8842,7245,1597,580,1017,10707,5233,5474,45.23,37.06,8.17,2.97,5.2,54.77,26.77,28,98330,21128,19549,6608,12941,33.8,66.2,45625,9927,3025,12952,32673,21.76,6.63,28.39,71.61,45988,39675,23109,588,89,13515,32,271,2071,6313,86.27,50.25,1.28,0.19,29.39,0.07,0.59,4.5,13.73
"R_3knBjGEBb4EvaVe",67217,2.79,4.41,7.06,0.65,0.23,0.53,"Wichita","KS","Wichita city","Wichita_KS Metro Area",0.17,84,"Wichita city"," KS",0.1485,"Low-Medium Segregation",67217,"ZCTA5 67217",672,67217,"ZCTA5 67217","Central Interior (Around IL)","KS",32184,2230.736,14.4275278495499,32184,16015,16169,49.76,50.24,32184,2233,2743,2769,1265,3217,5127,3888,3234,3573,2648,1069,418,6.94,8.52,8.6,3.93,10,15.93,12.08,10.05,11.1,8.23,3.32,1.3,32184,23011,2336,218,1025,0,1371,4223,71.5,7.26,0.68,3.18,0,4.26,13.12,11853,7848,4850,2998,963,2035,4005,2078,1927,66.21,40.92,25.29,8.12,17.17,33.79,17.53,16.26,53632,13248,11853,7766,4087,65.52,34.48,31946,6643,6263,12906,19040,20.79,19.6,40.4,59.6,32184,26253,20771,2336,46,971,0,28,2101,5931,81.57,64.54,7.26,0.14,3.02,0,0.09,6.53,18.43
"R_51HAqFBqVdYVxdL",40503,7.09,5.77,5.43,0.87,0.85,0.83,"Lexington-Fayette","KY","Lexington-Fayette","Lexington-Fayette_KY Metro Area",0.195,NA,NA,NA,NA,NA,40503,"ZCTA5 40503",405,40503,"ZCTA5 40503","Great Lakes (Around MI)","KY",28186,3190.695,8.83381235743177,28186,13346,14840,47.35,52.65,28186,1573,1431,1195,949,3756,4183,3472,3268,3364,2854,1654,487,5.58,5.08,4.24,3.37,13.33,14.84,12.32,11.59,11.94,10.13,5.87,1.73,28186,23452,701,111,1881,0,460,1581,83.2,2.49,0.39,6.67,0,1.63,5.61,12524,7271,5850,1421,457,964,5253,2521,2732,58.06,46.71,11.35,3.65,7.7,41.94,20.13,21.81,71131,13355,12524,7920,4604,63.24,36.76,28113,2740,4122,6862,21251,9.75,14.66,24.41,75.59,28186,26803,23191,690,6,1874,0,150,892,1383,95.09,82.28,2.45,0.02,6.65,0,0.53,3.16,4.91
"R_2B8QAyS7fzpE6K9",90007,6.97,8.03,4.3,0.31,0.82,0.24,"Los Angeles","CA","Los Angeles city","Los Angeles-Long Beach-Anaheim_CA Metro Area",0.103,25,"Los Angeles city"," CA",0.3088,"High Segregation",90007,"ZCTA5 90007",900,90007,"ZCTA5 90007","West Coast (includes Hawaii/Alaska)","CA",41004,16873.16,2.43013172261802,41004,20881,20123,50.92,49.08,41004,1339,1462,1547,1029,14839,7330,3762,3215,3112,2092,800,477,3.27,3.57,3.77,2.51,36.19,17.88,9.17,7.84,7.59,5.1,1.95,1.16,41004,13360,3535,466,7733,43,10676,5191,32.58,8.62,1.14,18.86,0.1,26.04,12.66,12520,5670,2655,3015,938,2077,6850,3788,3062,45.29,21.21,24.08,7.49,16.59,54.71,30.26,24.46,36326,13936,12520,1329,11191,10.62,89.38,36374,13598,9185,22783,13591,37.38,25.25,62.64,37.36,41004,18895,6508,3310,29,7576,30,143,1299,22109,46.08,15.87,8.07,0.07,18.48,0.07,0.35,3.17,53.92
